Incident_Number,Exposure_Number,ID,Address,Incident_Date,Call_Number,Alarm_DtTm,Arrival_DtTm,Close_DtTm,City,ZIP_Code,Battalion,Station_Area,Box,Suppression_Units,Suppression_Personnel,EMS_Units,EMS_Personnel,Other_Units,Other_Personnel,First_Unit_On_Scene,Estimated_Property_Loss,Estimated_Contents_Loss,Fire_Fatalities,Fire_Injuries,Civilian_Fatalities,Civilian_Injuries,Number_of_Alarms,Primary_Situation,Mutual_Aid,Action_Taken_Primary,Action_Taken_Secondary,Action_Taken_Other,Detector_Alerted_Occupants,Property_Use,Area_of_Fire_Origin,Ignition_Cause,Ignition_Factor_Primary,Ignition_Factor_Secondary,Heat_Source,Item_First_Ignited,Human_Factors_Associated_with_Ignition,Structure_Type,Structure_Status,Floor_of_Fire_Origin,Fire_Spread,No_Flame_Spead,Number_of_floors_with_minimum_damage,Number_of_floors_with_significant_damage,Number_of_floors_with_heavy_damage,Number_of_floors_with_extreme_damage,Detectors_Present,Detector_Type,Detector_Operation,Detector_Effectiveness,Detector_Failure_Reason,Automatic_Extinguishing_System_Present,Automatic_Extinguishing_Sytem_Type,Automatic_Extinguishing_Sytem_Perfomance,Automatic_Extinguishing_Sytem_Failure_Reason,Number_of_Sprinkler_Heads_Operating,Supervisor_District,Analysis_Neighborhood,point,Neighborhoods_old,Zip_Codes,Fire_Prevention_Districts,Police_Districts,Supervisor_Districts,Civic_Center_Harm_Reduction_Project_Boundary,Fix_It_Zones_2017,HSOC_Zones,Central_Market_Tenderloin_Boundary,Central_Market_Tenderloin_Boundary_Polygon_Updated,HSOC_Zones_as_of_2018_06_05,Neighborhoods,SF_Find_Neighborhoods,Current_Police_Districts,Current_Supervisor_Districts,Analysis_Neighborhoods
17107254,0,171072540,299 Fremont St #10thflr,09/11/2017,172543751,09/11/2017 06:57:44 PM,09/11/2017 07:03:56 PM,09/11/2017 07:13:36 PM,,,B03,35,2137,3,10,0,0,0,0,,,50,0,0,0,0,,"113 cooking fire, confined to container",n none,51 ventilate,63 restore fire alarm system,,1 detector alerted occupants,419 1 or 2 family dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17097218,0,170972180,,08/21/2017,172330389,08/21/2017 05:00:32 AM,08/21/2017 05:00:32 AM,08/21/2017 05:09:36 AM,,,B10,,,1,4,0,0,0,0,,,,0,0,0,0,,"151 outside rubbish, trash or waste fire",n none,11 extinguishment by fire service personnel,,,,936 vacant lot,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18010456,0,180104560,2450 Market Street,01/25/2018,180251010,01/25/2018 09:06:11 AM,01/25/2018 09:08:21 AM,01/25/2018 09:25:06 AM,,,B05,06,5254,11,43,2,4,1,2,,,75,0,0,0,0,,"113 cooking fire, confined to container",n none,51 ventilate,,,1 detector alerted occupants,429 multifamily dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18018403,0,180184030,2238 Geary,02/12/2018,180431508,02/12/2018 11:37:23 AM,,02/12/2018 11:37:59 AM,San Francisco,94115,B05,10,4154,3,10,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,,,,,,,,,,,,,na,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.44015899999998 37.78329200003),41,29490,15,5,11,,,,,,,103,103,8,11,39
18009436,0,180094360,456 Montgomery Street,01/22/2018,180223169,01/22/2018 06:39:45 PM,01/22/2018 06:43:04 PM,01/22/2018 06:46:41 PM,,,B01,13,1234,1,5,0,0,0,0,,,,0,0,0,0,,353 removal of victim(s) from stalled elevator,n none,86 investigate,,,,599 business office,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18001023,0,180010230,350 Arballo Drive,01/03/2018,180030668,01/03/2018 07:31:26 AM,,01/03/2018 07:32:59 AM,San Francisco,94132,B08,19,8582,3,10,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,429 multifamily dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,7,Lakeshore,POINT (-122.483111 37.72029400003),14,64,1,8,4,,,,,,,42,42,10,8,16
17108779,0,171087790,0 12th Avenue,09/15/2017,172582594,09/15/2017 03:14:06 PM,,09/15/2017 03:22:10 PM,San Francisco,94118,B07,31,7147,1,4,0,0,0,0,,,,0,0,0,0,,611 dispatched & canceled en route,n none,93 cancelled en route,,,,"962 residential street, road or residential driveway",,,,,,,,,,,,na,,,,,,,,,,,,,,,1,Inner Richmond,POINT (-122.47084900000002 37.78265100003),11,54,11,6,2,,,,,,,5,5,8,4,11
18065217,0,180652170,Bayside Dr,06/03/2018,181541201,06/03/2018 10:20:29 AM,06/03/2018 10:24:57 AM,06/03/2018 10:25:24 AM,,,B03,48,2931,2,9,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,"962 residential street, road or residential driveway",,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05091495,0,050914950,969 Burnett Av.,12/04/2005,053380282,12/04/2005 07:23:44 PM,12/04/2005 07:27:11 PM,12/04/2005 08:01:03 PM,SF,,B06,24,,9,31,1,2,0,0,E24,0,0,0,0,0,0,,"651 - smoke scare, odor of smoke",none,86 - investigate,-,-,-,429 - multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18035828,0,180358280,550 Gene Friend Way,03/25/2018,180842804,03/25/2018 06:24:44 PM,03/25/2018 06:28:04 PM,03/25/2018 06:40:07 PM,,,B03,04,2265,3,10,0,0,0,0,,,200,0,0,0,0,,"113 cooking fire, confined to container",n none,86 investigate,63 restore fire alarm system,,1 detector alerted occupants,429 multifamily dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
